Requirement ID,Requirement,Phase,Component,Test ID,Evidence,Status
PRJ-001,Create a project from a built-in or custom template,2,Project service,TEST-PRJ-001,app/src/__tests__/prj.test.ts (TEST-PRJ-001 PASS),PASS
PRJ-002,Edit project metadata and Project Brain,2,Project service,TEST-PRJ-002,app/src/__tests__/prj.test.ts (TEST-PRJ-002 PASS),PASS
PRJ-003,Archive and restore a project without data loss,2,Project service,TEST-PRJ-003,app/src/__tests__/prj.test.ts (TEST-PRJ-003 PASS),PASS
PRJ-004,Search sort and filter projects,2,Project query,TEST-PRJ-004,app/src/__tests__/prj.test.ts (TEST-PRJ-004 PASS),PASS
PRJ-005,Calculate and display project phase progress health risks and blockers,7,Dashboard service,TEST-PRJ-005,PENDING,NOT_STARTED
DEL-001,Create edit reorder archive and restore deliverables,3,Deliverable service,TEST-DEL-001,PENDING,NOT_STARTED
DEL-002,Support validated parent-child hierarchy,3,Deliverable service,TEST-DEL-002,PENDING,NOT_STARTED
DEL-003,Store status owner due date dependencies criteria and versions,3,Deliverable service,TEST-DEL-003,PENDING,NOT_STARTED
WPK-001,Create work packet linked to a project and optional deliverable,4,Work packet service,TEST-WPK-001,PENDING,NOT_STARTED
WPK-002,Store complete work packet specification evidence status and assignee,4,Work packet service,TEST-WPK-002,PENDING,NOT_STARTED
WPK-003,Submit versioned work for review,4,Work packet workflow,TEST-WPK-003,PENDING,NOT_STARTED
REV-001,Create criterion-based review records,5,Review service,TEST-REV-001,PENDING,NOT_STARTED
REV-002,Approve reject or request revision under transition rules,5,Review service,TEST-REV-002,PENDING,NOT_STARTED
REV-003,Preserve immutable review comments and history,5,Review service,TEST-REV-003,PENDING,NOT_STARTED
TPL-001,Load and validate built-in project templates,6,Template engine,TEST-TPL-001,PENDING,NOT_STARTED
TPL-002,Create stages deliverables brain sections and gates from a template,6,Template engine,TEST-TPL-002,PENDING,NOT_STARTED
TPL-003,Create and version custom templates,6,Template engine,TEST-TPL-003,PENDING,NOT_STARTED
GOV-001,Create immutable decision records,5,Decision service,TEST-GOV-001,PENDING,NOT_STARTED
GOV-002,Record and manage risks,5,Risk service,TEST-GOV-002,PENDING,NOT_STARTED
GOV-003,Record project versions and change summaries,3,Version service,TEST-GOV-003,PENDING,NOT_STARTED
DSH-001,Display portfolio dashboard metrics,7,Dashboard service,TEST-DSH-001,PENDING,NOT_STARTED
DSH-002,Display project dashboard,7,Dashboard service,TEST-DSH-002,PENDING,NOT_STARTED
DSH-003,Display pending reviews blockers risks recent decisions and progress,7,Dashboard service,TEST-DSH-003,PENDING,NOT_STARTED
AGT-001,Store generic agent records capabilities provider model autonomy and status,2,Agent model,TEST-AGT-001,app/src/__tests__/agt.test.ts (TEST-AGT-001 PASS),PASS
AGT-002,Maintain ordered execution queue with dependencies and evidence,4,Execution queue,TEST-AGT-002,PENDING,NOT_STARTED
AGT-003,Record append-only agent activity and outcomes,4,Activity service,TEST-AGT-003,PENDING,NOT_STARTED
EXC-001,Classify recoverable assumptions direction-required and critical issues,5,Exception manager,TEST-EXC-001,PENDING,NOT_STARTED
EXC-002,Create formal direction requests,5,Direction service,TEST-EXC-002,PENDING,NOT_STARTED
EXC-003,Continue unaffected work while an item is blocked,5,Execution coordinator,TEST-EXC-003,PENDING,NOT_STARTED
EXC-004,Record owner decisions and resume blocked work,5,Decision service,TEST-EXC-004,PENDING,NOT_STARTED
VER-001,Present understandable project version labels,3,Version manager,TEST-VER-001,PENDING,NOT_STARTED
VER-002,Record official development test and released versions,3,Version manager,TEST-VER-002,PENDING,NOT_STARTED
VER-003,Record comparison approval merge readiness and release status,9,Release manager,TEST-VER-003,PENDING,NOT_STARTED
ENV-001,Register isolated software development environments,9,Environment manager,TEST-ENV-001,PENDING,NOT_STARTED
ENV-002,Record branch worktree port database storage logs and status,9,Environment manager,TEST-ENV-002,PENDING,NOT_STARTED
ENV-003,Prevent runtime data sharing between isolated environments,8,Environment isolation,TEST-ENV-003,PENDING,NOT_STARTED
ENV-004,Display visible environment identity in non-production builds,7,Application shell,TEST-ENV-004,PENDING,NOT_STARTED
DAT-001,Export a complete project as a versioned package,8,Import export service,TEST-DAT-001,PENDING,NOT_STARTED
DAT-002,Import a compatible project package transactionally,8,Import export service,TEST-DAT-002,PENDING,NOT_STARTED
DAT-003,Reject invalid or unsupported import packages safely,8,Import export service,TEST-DAT-003,PENDING,NOT_STARTED
DAT-004,Create backups before destructive migrations and imports,1,Backup service,TEST-DAT-004,app/src/__tests__/dat004-backup.test.ts (4/4 PASS),PASS
DAT-005,Restore a verified backup with integrity checks,8,Recovery service,TEST-DAT-005,PENDING,NOT_STARTED
ATT-001,Attach files links notes test results and artifacts,4,Evidence service,TEST-ATT-001,PENDING,NOT_STARTED
ATT-002,Sanitize filenames validate size and preserve checksums,4,File service,TEST-ATT-002,PENDING,NOT_STARTED
