diagram_id,atlas_file,sources,mermaid_source
00_SYSTEM_OVERVIEW,docs/architecture-atlas/00-system-overview.md,01-product/PRODUCT_VISION.md;06-workflows/UNIVERSAL_PROJECT_LIFECYCLE.md,docs/diagrams/mermaid/00-system-overview.mmd
01_MAJOR_COMPONENTS,docs/architecture-atlas/01-major-components.md,04-architecture/SYSTEM_ARCHITECTURE.md;02-requirements/FUNCTIONAL_REQUIREMENTS.md,docs/diagrams/mermaid/01-major-components.mmd
02_SYSTEM_ARCHITECTURE,docs/architecture-atlas/02-system-architecture.md,04-architecture/SYSTEM_ARCHITECTURE.md;04-architecture/TECH_STACK.md;04-architecture/DATA_MODEL.md,docs/diagrams/mermaid/02-system-architecture.mmd
03_PROJECT_LIFECYCLE,docs/architecture-atlas/03-project-lifecycle.md,06-workflows/UNIVERSAL_PROJECT_LIFECYCLE.md;05-project-templates,docs/diagrams/mermaid/03-project-lifecycle.mmd
04_HUMAN_AI_COLLABORATION,docs/architecture-atlas/04-human-ai-collaboration.md,09-hermes/HERMES_RULES.md;09-hermes/AUTONOMOUS_EXECUTION_POLICY.md;09-hermes/DIRECTION_REQUIRED_PROTOCOL.md,docs/diagrams/mermaid/04-human-ai-collaboration.mmd
05_WORK_PACKET_EXECUTION,docs/architecture-atlas/05-work-packet-execution.md,06-workflows/WORK_PACKET_WORKFLOW.md;04-architecture/DATA_MODEL.md;08-quality/QUALITY_GATES.md,docs/diagrams/mermaid/05-work-packet-execution.mmd
06_DIRECTION_WORKFLOW,docs/architecture-atlas/06-direction-workflow.md,09-hermes/DIRECTION_REQUIRED_PROTOCOL.md;docs/HOW_TO_ANSWER_DIRECTION_REQUESTS.md;09-hermes/telegram/TELEGRAM_DIRECTION_PROTOCOL.md,docs/diagrams/mermaid/06-direction-workflow.mmd
07_AUTONOMOUS_HERMES,docs/architecture-atlas/07-autonomous-hermes.md,09-hermes/AUTONOMOUS_EXECUTION_POLICY.md;09-hermes/EXECUTION_QUEUE.yaml;09-hermes/STOP_CONDITIONS.yaml;09-hermes/RETRY_POLICY.yaml,docs/diagrams/mermaid/07-autonomous-hermes.mmd
08_TELEGRAM_CONTROL,docs/architecture-atlas/08-telegram-control.md,09-hermes/telegram/TELEGRAM_CONTROL_PLANE.md;09-hermes/telegram/PROJECT_ROUTING_POLICY.md;09-hermes/telegram/TELEGRAM_DIRECTION_PROTOCOL.md,docs/diagrams/mermaid/08-telegram-control.mmd
09_GATEWAY_RECOVERY,docs/architecture-atlas/09-gateway-recovery.md,09-hermes/telegram/GATEWAY_RECOVERY_POLICY.md;09-hermes/telegram/CHECKPOINT_AND_RESUME_POLICY.md;09-hermes/EXECUTION_STATE.json,docs/diagrams/mermaid/09-gateway-recovery.mmd
10_SMART_GIT_SYNC,docs/architecture-atlas/10-smart-git-sync.md,09-hermes/SMART_GIT_SYNC_POLICY.md;docs/SMART_GIT_SYNC_GUIDE.md,docs/diagrams/mermaid/10-smart-git-sync.mmd
11_MULTI_PROJECT_ROUTING,docs/architecture-atlas/11-multi-project-routing.md,09-hermes/telegram/PROJECT_ROUTING_POLICY.md;09-hermes/telegram/PROJECT_COMMUNICATION_REGISTRY.json;09-hermes/PARALLEL_ENVIRONMENT_RULES.md,docs/diagrams/mermaid/11-multi-project-routing.mmd
12_C4_SYSTEM_CONTEXT,docs/architecture-atlas/12-c4-system-context.md,04-architecture/SYSTEM_ARCHITECTURE.md;09-hermes/telegram/TELEGRAM_CONTROL_PLANE.md;09-hermes/SMART_GIT_SYNC_POLICY.md,docs/diagrams/mermaid/12-c4-system-context.mmd
13_C4_CONTAINERS,docs/architecture-atlas/13-c4-containers.md,04-architecture/SYSTEM_ARCHITECTURE.md;04-architecture/TECH_STACK.md;09-hermes/telegram/TELEGRAM_CONTROL_PLANE.md,docs/diagrams/mermaid/13-c4-containers.mmd
14_APPLICATION_COMPONENTS,docs/architecture-atlas/14-application-components.md,04-architecture/SYSTEM_ARCHITECTURE.md;04-architecture/API_CONTRACTS.md;04-architecture/DATA_MODEL.md,docs/diagrams/mermaid/14-application-components.mmd
15_CORE_DATA_MODEL,docs/architecture-atlas/15-core-data-model.md,04-architecture/DATA_MODEL.md,docs/diagrams/mermaid/15-core-data-model.mmd
16_WORK_PACKET_STATE_MACHINE,docs/architecture-atlas/16-work-packet-state-machine.md,04-architecture/DATA_MODEL.md;06-workflows/WORK_PACKET_WORKFLOW.md,docs/diagrams/mermaid/16-work-packet-state-machine.mmd
17_REVIEW_APPROVAL_STATE_MACHINE,docs/architecture-atlas/17-review-approval-state-machine.md,04-architecture/DATA_MODEL.md;06-workflows/REVIEW_WORKFLOW.md;06-workflows/APPROVAL_WORKFLOW.md,docs/diagrams/mermaid/17-review-approval-state-machine.mmd
18_DEPLOYMENT_SECURITY,docs/architecture-atlas/18-deployment-security.md,04-architecture/SECURITY_MODEL.md;09-hermes/telegram/TELEGRAM_CONTROL_PLANE.md;09-hermes/SMART_GIT_SYNC_POLICY.md;docs/SMART_GIT_SYNC_GUIDE.md,docs/diagrams/mermaid/18-deployment-security.mmd
19_FIVE_ENGINES,docs/architecture-atlas/19-five-engines.md,01-product/VSO_PRODUCT_DOCTRINE.md;04-architecture/SYSTEM_ARCHITECTURE.md,docs/diagrams/mermaid/19-five-engines.mmd
20_COMMERCIAL_QUALITY_LOOP,docs/architecture-atlas/20-commercial-quality-loop.md,08-quality/COMMERCIAL_QUALITY_FRAMEWORK.md;08-quality/BENCHMARKING_PROTOCOL.md;08-quality/QUALITY_GATE_MODEL.md;08-quality/RELEASE_READINESS_MODEL.md,docs/diagrams/mermaid/20-commercial-quality-loop.mmd
21_OWNER_ATTENTION_AUTONOMY,docs/architecture-atlas/21-owner-attention-autonomy.md,01-product/VSO_PRODUCT_DOCTRINE.md;01-product/SUCCESS_CRITERIA.md;09-hermes/AUTONOMOUS_EXECUTION_POLICY.md;04-architecture/DATA_MODEL.md,docs/diagrams/mermaid/21-owner-attention-autonomy.mmd
22_SEVL,docs/architecture-atlas/22-sevl.md,01-product/SEVL_SCOPE.md;02-requirements/FUNCTIONAL_REQUIREMENTS.md;08-quality/TEST_CASES.md,docs/diagrams/mermaid/22-sevl.mmd
